udise_code,school_name,state,district,block,location_type,management_type,category,total_students,total_teachers,total_classrooms,boys_toilets,girls_toilets,drinking_water_flag,electricity_flag,internet_flag,library_flag,desktops,laptops,playground_flag,furniture_flag,ramps_flag,solar_panel_flag,rainwater_flag,classes_from,classes_to,ptr,computers_total,toilets_total,students_per_class,toilets_per_100_students,computers_per_100_students,school_level,is_urban,is_rural,ptr_compliant,toilets_compliant,computers_compliant,water_compliant,electricity_compliant,internet_compliant,overall_compliance_score,infrastructure_need_score,ptr_squared,ptr_log,student_density,infrastructure_density,ptr_toilet_interaction,ptr_computer_interaction,state_encoded,district_encoded,block_encoded,location_type_encoded,management_type_encoded,category_encoded,school_level_encoded
UDISE000051,School 51,Karnataka,South,Block B,Rural,Private,Higher Secondary,1581,5,5,5,0,True,True,True,False,14,13,True,False,True,False,False,1,12,316.2,27,5,316.2,0.31625553447185323,1.7077798861480076,higher_secondary,False,True,False,False,False,True,True,True,0.5,0.5,99982.43999999999,5.7595324897606925,263.5,0.02338811630847029,316.2,316.2,1,3,1,0,2,0,0
UDISE000076,School 76,Maharashtra,North,Block B,Urban,Private,Secondary,1605,8,29,2,3,True,True,True,False,17,1,True,False,False,False,True,9,8,200.625,18,5,55.3448275862069,0.3115264797507788,1.1214953271028036,secondary,True,False,False,False,False,True,True,True,0.5,0.5,40250.390625,5.306409536445373,53.5,0.0323785803237858,200.625,200.625,2,2,1,1,2,2,2
UDISE000036,School 36,Delhi,North,Block C,Rural,Private,Primary,1293,37,15,0,4,True,True,False,True,2,0,True,True,True,True,False,1,12,34.945945945945944,2,4,86.2,0.30935808197989173,0.15467904098994587,higher_secondary,False,True,True,False,False,True,True,False,0.5,0.5,1221.2191380569757,3.582016308571575,80.8125,0.01622874806800618,34.945945945945944,34.945945945945944,0,2,2,0,2,1,0
UDISE000088,School 88,Delhi,Central,Block C,Urban,Aided,Primary,1959,7,10,3,9,True,True,True,True,11,5,False,True,True,False,False,9,12,279.85714285714283,16,12,195.9,0.6125574272588056,0.8167432363450741,higher_secondary,True,False,False,False,False,True,True,True,0.5,0.5,78320.02040816325,5.637846151651798,178.0909090909091,0.019387755102040816,279.85714285714283,279.85714285714283,0,0,2,1,0,1,0
UDISE000068,School 68,Delhi,South,Block A,Urban,Private,Higher Secondary,935,21,43,1,6,False,False,True,True,11,8,True,True,False,False,False,6,8,44.523809523809526,19,7,21.74418604651163,0.7486631016042781,2.0320855614973263,upper_primary,True,False,False,False,False,False,False,True,0.16666666666666666,0.8333333333333334,1982.3696145124718,3.8182354753279784,21.25,0.07371794871794872,44.523809523809526,44.523809523809526,0,3,0,1,2,0,3
UDISE000100,School 100,Delhi,West,Block C,Rural,Private,Primary,1481,83,47,1,2,True,True,False,True,17,1,True,True,False,False,False,6,8,17.843373493975903,18,3,31.51063829787234,0.2025658338960162,1.2153950033760972,upper_primary,False,True,True,False,False,True,True,True,0.6666666666666666,0.33333333333333337,318.38597764552185,2.9361613133086584,30.854166666666668,0.04588394062078273,17.843373493975903,17.843373493975903,0,4,2,0,2,1,3
UDISE000034,School 34,Maharashtra,West,Block B,Urban,Aided,Primary,702,34,8,7,2,False,True,True,True,3,0,True,False,False,True,True,6,12,20.647058823529413,3,9,87.75,1.282051282051282,0.4273504273504274,higher_secondary,True,False,True,True,False,False,True,True,0.6666666666666666,0.33333333333333337,426.3010380622838,3.074869594112715,78.0,0.02844950213371266,0.0,20.647058823529413,2,4,1,1,0,1,0
UDISE000071,School 71,Maharashtra,West,Block C,Urban,Government,Secondary,813,77,48,5,9,True,True,False,False,13,8,True,True,False,False,False,6,12,10.558441558441558,21,14,16.9375,1.7220172201722017,2.5830258302583027,higher_secondary,True,False,True,True,False,True,True,False,0.6666666666666666,0.33333333333333337,111.4806881430258,2.4474160408725014,16.591836734693878,0.10196560196560196,0.0,10.558441558441558,2,4,2,1,1,2,0
UDISE000049,School 49,Maharashtra,South,Block A,Urban,Government,Primary,554,81,6,0,2,True,True,True,True,16,6,False,True,True,False,False,9,5,6.839506172839506,22,2,92.33333333333333,0.36101083032490977,3.9711191335740073,secondary,True,False,True,False,False,True,True,True,0.6666666666666666,0.33333333333333337,46.77884468830971,2.059175844220253,79.14285714285714,0.05405405405405406,6.839506172839506,6.839506172839506,2,3,0,1,1,1,2
UDISE000005,School 5,Karnataka,North,Block C,Urban,Private,Secondary,1721,94,13,2,9,True,True,False,False,19,14,True,True,True,False,True,1,5,18.30851063829787,33,11,132.3846153846154,0.6391632771644393,1.917489831493318,primary,True,False,True,False,False,True,True,True,0.6666666666666666,0.33333333333333337,335.2015617926663,2.960545964428947,122.92857142857143,0.033101045296167246,18.30851063829787,18.30851063829787,1,2,2,1,2,2,1
UDISE000001,School 1,Karnataka,North,Block A,Rural,Aided,Primary,78,32,39,9,7,True,True,True,False,1,13,True,False,False,False,False,6,8,2.4375,14,16,2.0,20.51282051282051,17.94871794871795,upper_primary,False,True,True,True,True,True,True,True,1.0,0.0,5.94140625,1.2347444629926896,1.95,0.8734177215189873,0.0,0.0,1,2,0,0,0,1,3
UDISE000060,School 60,Delhi,West,Block C,Urban,Private,Primary,1629,7,20,6,7,True,True,True,True,5,7,True,False,False,True,False,6,12,232.71428571428572,12,13,81.45,0.798035604665439,0.7366482504604052,higher_secondary,True,False,False,False,False,True,True,True,0.5,0.5,54155.93877551021,5.4540993681073795,77.57142857142857,0.027607361963190184,232.71428571428572,232.71428571428572,0,4,2,1,2,1,0
UDISE000098,School 98,Tamil Nadu,South,Block B,Urban,Aided,Secondary,407,51,26,0,3,True,True,False,True,16,13,True,False,False,True,False,1,12,7.980392156862745,29,3,15.653846153846153,0.7371007371007371,7.125307125307126,higher_secondary,True,False,True,False,True,True,True,False,0.6666666666666666,0.33333333333333337,63.68665897731642,2.195043551389859,15.074074074074074,0.14215686274509803,7.980392156862745,0.0,3,3,1,1,0,2,0
UDISE000072,School 72,Maharashtra,South,Block B,Urban,Aided,Secondary,1302,5,36,5,3,True,True,True,False,16,1,True,True,False,True,True,6,12,260.4,17,8,36.166666666666664,0.6144393241167435,1.30568356374808,higher_secondary,True,False,False,False,False,True,True,True,0.5,0.5,67808.15999999999,5.566051801190121,35.189189189189186,0.04681504221028396,260.4,260.4,2,3,1,1,0,2,0
UDISE000045,School 45,Tamil Nadu,East,Block B,Urban,Government,Primary,1074,90,18,7,7,True,True,False,True,13,5,True,False,True,False,False,9,12,11.933333333333334,18,14,59.666666666666664,1.303538175046555,1.675977653631285,higher_secondary,True,False,True,True,False,True,True,False,0.6666666666666666,0.33333333333333337,142.40444444444444,2.559807957961118,56.526315789473685,0.046511627906976744,0.0,11.933333333333334,3,1,1,1,1,1,0
UDISE000044,School 44,Tamil Nadu,South,Block B,Urban,Aided,Secondary,1434,93,13,1,1,True,True,False,False,14,9,True,True,False,False,True,1,8,15.419354838709678,23,2,110.3076923076923,0.1394700139470014,1.6039051603905161,upper_primary,True,False,True,False,False,True,True,True,0.6666666666666666,0.33333333333333337,237.75650364203955,2.7984608120653767,102.42857142857143,0.0264808362369338,15.419354838709678,15.419354838709678,3,3,1,1,0,2,3
UDISE000045,School 45,Tamil Nadu,East,Block B,Urban,Government,Primary,1074,90,18,7,7,True,True,False,True,13,5,True,False,True,False,False,9,12,11.933333333333334,18,14,59.666666666666664,1.303538175046555,1.675977653631285,higher_secondary,True,False,True,True,False,True,True,False,0.6666666666666666,0.33333333333333337,142.40444444444444,2.559807957961118,56.526315789473685,0.046511627906976744,0.0,11.933333333333334,3,1,1,1,1,1,0
UDISE000023,School 23,Maharashtra,Central,Block B,Urban,Private,Higher Secondary,925,17,7,0,7,True,True,False,False,6,13,True,True,True,False,False,9,8,54.411764705882355,19,7,132.14285714285714,0.7567567567567568,2.054054054054054,secondary,True,False,False,False,False,True,True,False,0.3333333333333333,0.6666666666666667,2960.6401384083047,4.014791930520147,115.625,0.035637149028077755,54.411764705882355,54.411764705882355,2,0,1,1,2,0,2
UDISE000080,School 80,Tamil Nadu,East,Block A,Urban,Government,Primary,1306,38,24,9,4,True,True,False,True,11,13,True,True,True,False,True,9,8,34.36842105263158,24,13,54.416666666666664,0.9954058192955589,1.8376722817764166,secondary,True,False,True,False,False,True,True,False,0.5,0.5,1181.1883656509697,3.5658193613567093,52.24,0.046671767406273906,34.36842105263158,34.36842105263158,3,1,0,1,1,1,2
UDISE000029,School 29,Tamil Nadu,Central,Block C,Urban,Aided,Higher Secondary,1604,51,19,8,7,True,True,True,True,18,0,True,False,False,False,False,6,5,31.45098039215686,18,15,84.42105263157895,0.9351620947630923,1.1221945137157108,upper_primary,True,False,True,False,False,True,True,True,0.6666666666666666,0.33333333333333337,989.1641676278354,3.4797306550868377,80.2,0.032398753894081,31.45098039215686,31.45098039215686,3,0,2,1,0,0,3
UDISE000039,School 39,Delhi,Central,Block A,Urban,Private,Secondary,1733,53,13,8,9,True,True,False,True,6,12,True,False,True,False,False,6,5,32.698113207547166,18,17,133.30769230769232,0.9809578765147143,1.03866128101558,upper_primary,True,False,True,False,False,True,True,True,0.6666666666666666,0.33333333333333337,1069.1666073335705,3.5174418478843226,123.78571428571429,0.02768166089965398,32.698113207547166,32.698113207547166,0,0,0,1,2,2,3
UDISE000010,School 10,Maharashtra,West,Block A,Urban,Government,Secondary,549,32,36,2,0,False,True,False,True,11,0,True,False,False,True,False,1,5,17.15625,11,2,15.25,0.36429872495446264,2.0036429872495445,primary,True,False,True,False,False,False,True,True,0.5,0.5,294.3369140625,2.8990148540521847,14.837837837837839,0.0890909090909091,17.15625,17.15625,2,4,0,1,1,2,1
UDISE000030,School 30,Tamil Nadu,South,Block B,Urban,Aided,Secondary,88,29,22,1,5,True,True,True,True,10,9,False,False,True,False,False,9,8,3.0344827586206895,19,6,4.0,6.8181818181818175,21.59090909090909,secondary,True,False,True,True,True,True,True,True,1.0,0.0,9.20808561236623,1.3948781048112822,3.8260869565217392,0.5280898876404494,0.0,0.0,3,3,1,1,0,2,2
UDISE000046,School 46,Tamil Nadu,South,Block C,Urban,Private,Higher Secondary,436,63,10,5,7,False,True,True,True,19,6,True,False,False,False,True,6,8,6.920634920634921,25,12,43.6,2.7522935779816518,5.73394495412844,upper_primary,True,False,True,True,True,False,True,True,0.8333333333333334,0.16666666666666663,47.89518770471152,2.069471369359986,39.63636363636363,0.10755148741418764,0.0,0.0,3,3,2,1,2,0,3
UDISE000065,School 65,Karnataka,East,Block A,Urban,Private,Primary,864,78,8,3,5,True,True,False,True,11,5,True,True,True,False,False,6,8,11.076923076923077,16,8,108.0,0.9259259259259258,1.8518518518518516,upper_primary,True,False,True,False,False,True,True,True,0.6666666666666666,0.33333333333333337,122.698224852071,2.4912964478867714,96.0,0.03699421965317919,11.076923076923077,11.076923076923077,1,1,0,1,2,1,3
UDISE000061,School 61,Karnataka,South,Block A,Rural,Private,Higher Secondary,734,57,30,2,7,True,True,True,False,14,10,True,True,False,False,False,9,5,12.87719298245614,24,9,24.466666666666665,1.226158038147139,3.2697547683923704,secondary,False,True,True,False,False,True,True,True,0.6666666666666666,0.33333333333333337,165.82209910741767,2.6302466999331036,23.677419354838708,0.08571428571428572,12.87719298245614,12.87719298245614,1,3,0,0,2,0,2
UDISE000081,School 81,Karnataka,East,Block B,Rural,Aided,Higher Secondary,1378,96,49,2,6,True,True,False,False,2,14,True,False,False,False,True,9,8,14.354166666666666,16,8,28.122448979591837,0.5805515239477503,1.1611030478955007,secondary,False,True,True,False,False,True,True,False,0.5,0.5,206.04210069444443,2.7313868812814457,27.56,0.05293691080493111,14.354166666666666,14.354166666666666,1,1,1,0,0,0,2
UDISE000031,School 31,Delhi,South,Block B,Rural,Government,Primary,1199,70,26,3,7,False,True,True,False,1,7,True,False,False,False,True,1,5,17.12857142857143,8,10,46.11538461538461,0.8340283569641368,0.6672226855713094,primary,False,True,True,False,False,False,True,True,0.5,0.5,293.3879591836735,2.8974892256650286,44.407407407407405,0.03666666666666667,17.12857142857143,17.12857142857143,0,3,1,0,1,1,1
UDISE000011,School 11,Karnataka,North,Block B,Urban,Private,Primary,1730,96,20,2,4,True,True,False,False,16,11,True,False,False,False,False,6,8,18.020833333333332,27,6,86.5,0.3468208092485549,1.560693641618497,upper_primary,True,False,True,False,False,True,True,True,0.6666666666666666,0.33333333333333337,324.7504340277777,2.9455348696870773,82.38095238095238,0.030618139803581745,18.020833333333332,18.020833333333332,1,2,1,1,2,1,3
UDISE000087,School 87,Maharashtra,East,Block A,Urban,Private,Secondary,1639,58,3,2,4,True,True,True,False,16,3,True,True,False,True,False,1,8,28.25862068965517,19,6,546.3333333333334,0.36607687614399026,1.1592434411226358,upper_primary,True,False,True,False,False,True,True,True,0.6666666666666666,0.33333333333333337,798.5496432818073,3.376174254687807,409.75,0.01707317073170732,28.25862068965517,28.25862068965517,2,1,0,1,2,2,3
UDISE000081,School 81,Karnataka,East,Block B,Rural,Aided,Higher Secondary,1378,96,49,2,6,True,True,False,False,2,14,True,False,False,False,True,9,8,14.354166666666666,16,8,28.122448979591837,0.5805515239477503,1.1611030478955007,secondary,False,True,True,False,False,True,True,False,0.5,0.5,206.04210069444443,2.7313868812814457,27.56,0.05293691080493111,14.354166666666666,14.354166666666666,1,1,1,0,0,0,2
UDISE000100,School 100,Delhi,West,Block C,Rural,Private,Primary,1481,83,47,1,2,True,True,False,True,17,1,True,True,False,False,False,6,8,17.843373493975903,18,3,31.51063829787234,0.2025658338960162,1.2153950033760972,upper_primary,False,True,True,False,False,True,True,True,0.6666666666666666,0.33333333333333337,318.38597764552185,2.9361613133086584,30.854166666666668,0.04588394062078273,17.843373493975903,17.843373493975903,0,4,2,0,2,1,3
UDISE000021,School 21,Maharashtra,West,Block A,Urban,Private,Primary,1860,96,44,9,1,True,True,True,True,19,11,True,False,False,False,False,1,8,19.375,30,10,42.27272727272727,0.5376344086021506,1.6129032258064515,upper_primary,True,False,True,False,False,True,True,True,0.6666666666666666,0.33333333333333337,375.390625,3.0143086591269266,41.333333333333336,0.045137023105857065,19.375,19.375,2,4,0,1,2,1,3
UDISE000004,School 4,Karnataka,North,Block C,Urban,Aided,Secondary,388,40,4,6,6,True,True,True,False,3,14,False,True,True,False,False,9,12,9.7,17,12,97.0,3.0927835051546393,4.381443298969072,higher_secondary,True,False,True,True,False,True,True,True,0.8333333333333334,0.16666666666666663,94.08999999999999,2.3702437414678603,77.6,0.08483290488431877,0.0,9.7,1,2,2,1,0,2,0
UDISE000089,School 89,Tamil Nadu,Central,Block C,Rural,Government,Primary,1332,54,37,0,0,False,True,True,True,19,9,False,True,False,True,True,9,5,24.666666666666668,28,0,36.0,0.0,2.1021021021021022,secondary,False,True,True,False,False,False,True,True,0.5,0.5,608.4444444444445,3.245193133185574,35.05263157894737,0.04876219054763691,24.666666666666668,24.666666666666668,3,0,2,0,1,1,2
UDISE000035,School 35,Maharashtra,North,Block C,Urban,Aided,Higher Secondary,803,9,4,7,4,False,True,False,True,16,1,True,True,False,False,False,6,12,89.22222222222223,17,11,200.75,1.36986301369863,2.1170610211706102,higher_secondary,True,False,False,True,False,False,True,False,0.3333333333333333,0.6666666666666667,7960.604938271606,4.502275762825459,160.6,0.03980099502487562,0.0,89.22222222222223,2,2,2,1,0,0,0
UDISE000021,School 21,Maharashtra,West,Block A,Urban,Private,Primary,1860,96,44,9,1,True,True,True,True,19,11,True,False,False,False,False,1,8,19.375,30,10,42.27272727272727,0.5376344086021506,1.6129032258064515,upper_primary,True,False,True,False,False,True,True,True,0.6666666666666666,0.33333333333333337,375.390625,3.0143086591269266,41.333333333333336,0.045137023105857065,19.375,19.375,2,4,0,1,2,1,3
UDISE000095,School 95,Maharashtra,West,Block B,Urban,Aided,Primary,785,98,30,4,7,True,True,False,True,7,8,True,True,True,False,True,9,12,8.010204081632653,15,11,26.166666666666668,1.4012738853503186,1.910828025477707,higher_secondary,True,False,True,True,False,True,True,False,0.6666666666666666,0.33333333333333337,64.16336942940441,2.198357721933388,25.322580645161292,0.07124681933842239,0.0,8.010204081632653,2,4,1,1,0,1,0
UDISE000015,School 15,Tamil Nadu,East,Block C,Urban,Government,Primary,1374,67,36,9,7,True,True,True,True,17,10,False,False,True,False,False,6,12,20.507462686567163,27,16,38.166666666666664,1.1644832605531297,1.9650655021834063,higher_secondary,True,False,True,False,False,True,True,True,0.6666666666666666,0.33333333333333337,420.55602584094447,3.068399976608556,37.13513513513514,0.05745454545454545,20.507462686567163,20.507462686567163,3,1,2,1,1,1,0
UDISE000072,School 72,Maharashtra,South,Block B,Urban,Aided,Secondary,1302,5,36,5,3,True,True,True,False,16,1,True,True,False,True,True,6,12,260.4,17,8,36.166666666666664,0.6144393241167435,1.30568356374808,higher_secondary,True,False,False,False,False,True,True,True,0.5,0.5,67808.15999999999,5.566051801190121,35.189189189189186,0.04681504221028396,260.4,260.4,2,3,1,1,0,2,0
UDISE000034,School 34,Maharashtra,West,Block B,Urban,Aided,Primary,702,34,8,7,2,False,True,True,True,3,0,True,False,False,True,True,6,12,20.647058823529413,3,9,87.75,1.282051282051282,0.4273504273504274,higher_secondary,True,False,True,True,False,False,True,True,0.6666666666666666,0.33333333333333337,426.3010380622838,3.074869594112715,78.0,0.02844950213371266,0.0,20.647058823529413,2,4,1,1,0,1,0
UDISE000096,School 96,Maharashtra,Central,Block B,Rural,Private,Secondary,833,61,25,3,7,True,True,True,True,10,11,True,True,True,True,True,9,12,13.655737704918034,21,10,33.32,1.2004801920768309,2.5210084033613445,higher_secondary,False,True,True,False,False,True,True,True,0.6666666666666666,0.33333333333333337,186.47917226552005,2.684831911000203,32.03846153846154,0.0671462829736211,13.655737704918034,13.655737704918034,2,0,1,0,2,2,0
UDISE000061,School 61,Karnataka,South,Block A,Rural,Private,Higher Secondary,734,57,30,2,7,True,True,True,False,14,10,True,True,False,False,False,9,5,12.87719298245614,24,9,24.466666666666665,1.226158038147139,3.2697547683923704,secondary,False,True,True,False,False,True,True,True,0.6666666666666666,0.33333333333333337,165.82209910741767,2.6302466999331036,23.677419354838708,0.08571428571428572,12.87719298245614,12.87719298245614,1,3,0,0,2,0,2
UDISE000086,School 86,Karnataka,North,Block A,Urban,Government,Secondary,1446,38,38,3,9,True,True,False,False,6,3,True,True,True,False,False,1,5,38.05263157894737,9,12,38.05263157894737,0.8298755186721992,0.6224066390041494,primary,True,False,False,False,False,True,True,True,0.5,0.5,1448.0027700831026,3.66491026400094,37.07692307692308,0.04077401520387008,38.05263157894737,38.05263157894737,1,2,0,1,1,2,1
UDISE000098,School 98,Tamil Nadu,South,Block B,Urban,Aided,Secondary,407,51,26,0,3,True,True,False,True,16,13,True,False,False,True,False,1,12,7.980392156862745,29,3,15.653846153846153,0.7371007371007371,7.125307125307126,higher_secondary,True,False,True,False,True,True,True,False,0.6666666666666666,0.33333333333333337,63.68665897731642,2.195043551389859,15.074074074074074,0.14215686274509803,7.980392156862745,0.0,3,3,1,1,0,2,0
UDISE000015,School 15,Tamil Nadu,East,Block C,Urban,Government,Primary,1374,67,36,9,7,True,True,True,True,17,10,False,False,True,False,False,6,12,20.507462686567163,27,16,38.166666666666664,1.1644832605531297,1.9650655021834063,higher_secondary,True,False,True,False,False,True,True,True,0.6666666666666666,0.33333333333333337,420.55602584094447,3.068399976608556,37.13513513513514,0.05745454545454545,20.507462686567163,20.507462686567163,3,1,2,1,1,1,0
UDISE000047,School 47,Tamil Nadu,South,Block C,Urban,Private,Higher Secondary,397,31,6,4,6,True,True,False,True,10,1,True,True,True,False,False,6,5,12.806451612903226,11,10,66.16666666666667,2.518891687657431,2.770780856423174,upper_primary,True,False,True,True,False,True,True,True,0.8333333333333334,0.16666666666666663,164.00520291363165,2.6251359910966507,56.714285714285715,0.0678391959798995,0.0,12.806451612903226,3,3,2,1,2,0,3
UDISE000084,School 84,Tamil Nadu,East,Block C,Urban,Aided,Higher Secondary,1488,43,19,9,5,True,True,True,False,14,6,True,True,True,False,False,9,12,34.604651162790695,20,14,78.3157894736842,0.9408602150537635,1.3440860215053763,higher_secondary,True,False,True,False,False,True,True,True,0.6666666666666666,0.33333333333333337,1197.4818820984315,3.572476279964121,74.4,0.035594358629952985,34.604651162790695,34.604651162790695,3,1,2,1,0,0,0
UDISE000038,School 38,Delhi,East,Block C,Rural,Government,Primary,1131,22,45,9,2,True,False,True,False,8,8,False,False,False,False,False,6,12,51.40909090909091,16,11,25.133333333333333,0.9725906277630416,1.414677276746242,higher_secondary,False,True,False,False,False,True,False,True,0.3333333333333333,0.6666666666666667,2642.894628099173,3.9590800669107433,24.58695652173913,0.0636042402826855,51.40909090909091,51.40909090909091,0,1,2,0,1,1,0
UDISE000023,School 23,Maharashtra,Central,Block B,Urban,Private,Higher Secondary,925,17,7,0,7,True,True,False,False,6,13,True,True,True,False,False,9,8,54.411764705882355,19,7,132.14285714285714,0.7567567567567568,2.054054054054054,secondary,True,False,False,False,False,True,True,False,0.3333333333333333,0.6666666666666667,2960.6401384083047,4.014791930520147,115.625,0.035637149028077755,54.411764705882355,54.411764705882355,2,0,1,1,2,0,2
UDISE000034,School 34,Maharashtra,West,Block B,Urban,Aided,Primary,702,34,8,7,2,False,True,True,True,3,0,True,False,False,True,True,6,12,20.647058823529413,3,9,87.75,1.282051282051282,0.4273504273504274,higher_secondary,True,False,True,True,False,False,True,True,0.6666666666666666,0.33333333333333337,426.3010380622838,3.074869594112715,78.0,0.02844950213371266,0.0,20.647058823529413,2,4,1,1,0,1,0
UDISE000070,School 70,Maharashtra,East,Block C,Urban,Government,Primary,252,82,28,3,7,True,True,True,False,7,14,False,True,True,False,True,1,8,3.073170731707317,21,10,9.0,3.968253968253968,8.333333333333332,upper_primary,True,False,True,True,True,True,True,True,1.0,0.0,9.444378346222488,1.4044217457124473,8.689655172413794,0.233201581027668,0.0,0.0,2,1,2,1,1,1,3
UDISE000064,School 64,Delhi,West,Block B,Urban,Aided,Primary,1902,41,23,4,2,False,True,False,True,16,10,False,True,False,False,False,6,5,46.390243902439025,26,6,82.69565217391305,0.31545741324921134,1.3669821240799158,upper_primary,True,False,False,False,False,False,True,True,0.3333333333333333,0.6666666666666667,2152.054729327781,3.8584163826731324,79.25,0.028901734104046242,46.390243902439025,46.390243902439025,0,4,1,1,0,1,3
UDISE000020,School 20,Karnataka,West,Block C,Rural,Aided,Secondary,1488,81,32,5,4,False,True,True,True,2,0,True,True,True,False,False,6,5,18.37037037037037,2,9,46.5,0.6048387096774194,0.13440860215053765,upper_primary,False,True,True,False,False,False,True,True,0.5,0.5,337.4705075445816,2.9637445980605936,45.09090909090909,0.02887844190732035,18.37037037037037,18.37037037037037,1,4,2,0,0,2,3
UDISE000027,School 27,Maharashtra,South,Block A,Rural,Government,Primary,763,86,19,9,2,False,True,False,True,14,11,True,True,True,False,False,9,8,8.872093023255815,25,11,40.1578947368421,1.4416775884665793,3.2765399737876804,secondary,False,True,True,True,False,False,True,False,0.5,0.5,78.7140346133045,2.2897118900578395,38.15,0.07198952879581152,0.0,8.872093023255815,2,3,0,0,1,1,2
